File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::showContextMenu(const QPoint &pos),25,15,15,0,4,0,6,13,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,"ResizableRubberband::eventFilter(QObject * object, QEvent * event)",24,24,20,7,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::resizeEvent(QResizeEvent *),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::remove(),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::changeHistogram(),2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::checkFilter(),14,13,9,2,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\ResizableRubberband.cpp,ResizableRubberband::paintEvent(QPaintEvent *event),11,10,8,1,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.cpp,"SingleGPU::SingleGPU(QStringList filenames, const std::vector< std::unique_ptr<ResizableRubberband> > *rbs, QString saveName, bool checked, bool fpsChecked, int fpsValue)",112,78,61,13,20,0,14,46,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.cpp,SingleGPU::~SingleGPU(),1,1,1,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.cpp,SingleGPU::snowFilterDebug(cv::cuda::GpuMat roi),35,23,22,2,7,0,5,6,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\SingleGPU.cpp,SingleGPU::cloudFilterDebug(cv::cuda::GpuMat roi),19,13,12,2,6,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\singleGPUCUDA.cpp,"findThreshold(cv::cuda::GpuMat b_hist, int *threshold)",15,8,6,3,1,0,6,16,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\singleGPUCUDA.cpp,"getThreshold(cv::cuda::GpuMat b_hist, int *threshold)",6,5,5,0,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"TIXML_SNPRINTF( char* buffer, size_t size, const char* format, ... )",6,6,6,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"TIXML_VSNPRINTF( char* buffer, size_t size, const char* format, va_list va )",3,3,3,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"TIXML_VSCPRINTF( const char* format, va_list va )",15,15,13,4,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"TIXML_VSCPRINTF( const char* format, va_list va )",4,4,4,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::~StrPair(),2,2,2,0,0,0,0,0,
